Media_type,isolate_ID,Replicates,Protocol,Absor_260/280,Absor_260/230,Nano_1ng/ul,Quatus_2ng/ul
PD,BS 9 C 040N-2,1,4,1.98,0.31,22.3,2.3
PD,BS 9 C 040N-2,2,4,1.83,0.22,18.4,0.525
PD,BS11C 643 S-6,1,4,2.49,0.23,7.8,0.403
PD,BS11C 643 S-6,2,4,1.96,0.41,18.9,2.17
PD,BS11 240 698 S-6,1,4,-0.71,0.16,0.9,0.179
PD,BS11 240 698 S-6,2,4,3.65,0.39,2.5,0.133
SD,TX1-2,1,4,1.62,0.55,106.2,4.48
SD,TX1-2,2,4,1.85,0.73,150.1,11
SD,TX1-2,3,4,1.7,0.59,131.7,8.9
SD,CAN2,1,4,1.85,0.75,212.8,34
SD,CAN2,2,4,1.64,0.8,98.1,3.27
SD,CAN2,3,4,2.04,0.91,81.7,11
SD,BS9_240_002N_4,1,4,1.73,0.61,115.5,19
SD,BS9_240_002N_4,2,4,1.71,0.69,105.2,42
SD,BS9_240_002N_4,3,4,1.59,1.06,213.4,10
SD,BS 9 C 040N-2,1,4,1.81,0.65,118.3,66
SD,BS 9 C 040N-2,2,4,1.61,0.6,100.1,47
SD,BS 9 C 040N-2,3,4,1.86,0.64,144.1,81
SD,BS11C 643 S-6,1,4,1.75,0.27,30,0.122
SD,BS11C 643 S-6,2,4,1.37,0.42,63.3,0.0369
SD,BS11C 643 S-6,3,4,1.62,0.3,42.6,0.101
SD,BS11 240 698 S-6,1,4,1.56,0.6,174.1,6.7
SD,BS11 240 698 S-6,2,4,1.7,0.69,82,16
SD,BS11 240 698 S-6,3,4,1.82,0.7,111.7,14
YEPD,TX1-2,1,4,1.3,0.33,25.4,0.223
YEPD,TX1-2,2,4,1.43,0.3,73.6,0.288
YEPD,TX1-2,3,4,1.53,0.33,101.7,0.419
YEPD,CAN2,1,4,1.82,0.62,70.2,7.7
YEPD,CAN2,2,4,1.78,0.9,60.3,7.2
YEPD,CAN2,3,4,1.61,0.77,90.7,9.6
YEPD,BS9_240_002N_4,1,4,2.08,1.61,411.3,57
YEPD,BS9_240_002N_4,2,4,2.07,1.63,262.3,36
YEPD,BS9_240_002N_4,3,4,2.09,1.95,322.4,41
YEPD,BS 9 C 040N-2,1,4,1.37,0.35,79.4,17
YEPD,BS 9 C 040N-2,2,4,1.31,0.49,283,9.8
YEPD,BS 9 C 040N-2,3,4,1.64,0.51,101,21
YEPD,BS11C 643 S-6,1,4,1.53,0.67,359.8,0.608
YEPD,BS11C 643 S-6,2,4,1.48,0.65,393.4,0.893
YEPD,BS11C 643 S-6,3,4,1.36,0.56,72.1,0.271
YEPD,BS11 240 698 S-6,1,4,1.48,0.41,106.2,0.996
YEPD,BS11 240 698 S-6,2,4,1.43,0.48,171.4,0.96
YEPD,BS11 240 698 S-6,3,4,1.52,0.49,193.6,1.65
